YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
2022,19.660413223140495,22.001396694214883,25.31837603305785,28.29720661157025,29.86501239669422,29.35142561983471,28.07920661157025,27.69830578512397,27.476152892561977,26.269669421487603,23.500289256198347,20.73499586776859,25.687318181818178,20.8299173553719,27.826966942148758,28.151739669421495,23.501545454545454
2023,19.663514428939166,22.012414036038482,25.326815743124236,28.30330226256605,29.867618615363774,29.353650589351034,28.082968161495735,27.703542880368516,27.482160818317297,26.276359571873726,23.510650318385043,20.74481628505622,25.69359585422029,20.836963826039835,27.83268879555616,28.156052160953806,23.51050182902046
2024,19.666615634737838,22.023431377862085,25.335255453190623,28.30939791356185,29.870224834033333,29.35587555886736,28.08672971142122,27.708779975613062,27.488168744072617,26.283049722259854,23.52101138057174,20.75463670234385,25.699873526622405,20.844010296707765,27.838410648963553,28.160364652486116,23.51945820349546
2025,19.66971684053651,22.034448719685685,25.34369516325701,28.31549356455765,29.87283105270289,29.358100528383687,28.090491261346706,27.714017070857608,27.494176669827933,26.28973987264598,23.531372442758435,20.76445711963148,25.706151199024518,20.851056767375695,27.844132502370954,28.164677144018434,23.528414577970466
2026,19.672818046335184,22.045466061509288,25.352134873323397,28.321589215553452,29.875437271372448,29.360325497900014,28.094252811272188,27.719254166102157,27.50018459558325,26.29643002303211,23.54173350494513,20.77427753691911,25.71242887142663,20.858103238043626,27.849854355778348,28.168989635550744,23.537370952445468
2027,19.675919252133856,22.056483403332887,25.360574583389784,28.327684866549248,29.878043490042003,29.362550467416337,28.098014361197674,27.724491261346703,27.50619252133857,26.303120173418236,23.552094567131824,20.784097954206743,25.718706543828745,20.865149708711556,27.85557620918575,28.173302127083055,23.546327326920473
2028,19.679020457932527,22.06750074515649,25.369014293456168,28.33378051754505,29.88064970871156,29.364775436932664,28.101775911123156,27.729728356591252,27.512200447093885,26.309810323804363,23.56245562931852,20.79391837149437,25.724984216230858,20.872196179379486,27.861298062593143,28.17761461861537,23.555283701395474
2029,19.682121663731202,22.07851808698009,25.377454003522555,28.339876168540847,29.883255927381118,29.367000406448987,28.10553746104864,27.734965451835798,27.5182083728492,26.316500474190487,23.572816691505217,20.803738788782002,25.73126188863297,20.87924265004742,27.86701991600054,28.181927110147683,23.56424007587048
2030,19.685222869529873,22.089535428803693,25.385893713588942,28.34597181953665,29.885862146050673,29.369225375965314,28.109299010974127,27.740202547080344,27.52421629860452,26.323190624576615,23.583177753691913,20.813559206069634,25.737539561035085,20.88628912071535,27.872741769407938,28.186239601679993,23.57319645034548
2031,19.688324075328545,22.100552770627292,25.39433342365533,28.35206747053245,29.888468364720232,29.37145034548164,28.113060560899612,27.74543964232489,27.530224224359838,26.32988077496274,23.59353881587861,20.823379623357262,25.7438172334372,20.893335591383284,27.878463622815335,28.190552093212307,23.582152824820486
2032,19.691425281127216,22.111570112450895,25.402773133721716,28.35816312152825,29.891074583389788,29.373675314997968,28.116822110825094,27.750676737569435,27.536232150115154,26.336570925348866,23.603899878065302,20.833200040644893,25.750094905839312,20.900382062051214,27.884185476222733,28.19486458474462,23.591109199295488
2033,19.694526486925888,22.122587454274495,25.411212843788103,28.36425877252405,29.893680802059347,29.37590028451429,28.12058366075058,27.755913832813984,27.542240075870474,26.343261075734993,23.614260940252,20.843020457932525,25.756372578241425,20.907428532719145,27.88990732963013,28.199177076276932,23.600065573770493
2034,19.69762769272456,22.133604796098094,25.41965255385449,28.37035442351985,29.896287020728902,29.378125254030618,28.12434521067606,27.761150928058534,27.548248001625794,26.34995122612112,23.624622002438695,20.852840875220153,25.76265025064354,20.914475003387075,27.895629183037528,28.203489567809246,23.609021948245495
2035,19.700728898523234,22.144622137921697,25.428092263920878,28.37645007451565,29.89889323939846,29.380350223546944,28.128106760601547,27.76638802330308,27.55425592738111,26.35664137650725,23.63498306462539,20.862661292507784,25.768927923045652,20.921521474055005,27.901351036444925,28.20780205934156,23.6179783227205
2036,19.703830104321906,22.155639479745297,25.43653197398726,28.38254572551145,29.901499458068017,29.382575193063268,28.131868310527032,27.771625118547625,27.560263853136426,26.363331526893376,23.645344126812084,20.872481709795416,25.775205595447765,20.928567944722936,27.907072889852323,28.21211455087387,23.6269346971955
2037,19.706931310120577,22.1666568215689,25.444971684053648,28.388641376507252,29.904105676737572,29.384800162579594,28.135629860452518,27.77686221379217,27.566271778891746,26.3700216772795,23.65570518899878,20.882302127083044,25.78148326784988,20.93561441539087,27.91279474325972,28.21642704240618,23.635891071670507
2038,19.710032515919252,22.1776741633925,25.453411394120035,28.394737027503048,29.90671189540713,29.38702513209592,28.139391410378,27.782099309036717,27.572279704647062,26.376711827665627,23.666066251185477,20.892122544370675,25.787760940251992,20.9426608860588,27.918516596667118,28.2207395339385,23.64484744614551
2039,19.713133721717924,22.188691505216102,25.461851104186422,28.40083267849885,29.909318114076687,29.389250101612248,28.143152960303485,27.787336404281266,27.57828763040238,26.38340197805175,23.676427313372173,20.901942961658307,25.794038612654106,20.949707356726734,27.924238450074515,28.22505202547081,23.653803820620514
2040,19.716234927516595,22.1997088470397,25.47029081425281,28.406928329494647,29.911924332746246,29.39147507112857,28.146914510228967,27.792573499525812,27.5842955561577,26.390092128437878,23.68678837555887,20.911763378945935,25.80031628505622,20.956753827394664,27.929960303481913,28.22936451700312,23.662760195095515
2041,19.719336133315267,22.210726188863305,25.478730524319197,28.41302398049045,29.9145305514158,29.393700040644898,28.150676060154453,27.79781059477036,27.590303481913015,26.396782278824006,23.697149437745562,20.921583796233566,25.806593957458336,20.963800298062594,27.93568215688931,28.233677008535434,23.67171656957052
